# x, y, z, A
0.69	0.05	0.005	2.513575015e-05
0.71	0.05	0.005	1.97964260346e-05
0.73	0.05	0.005	1.56012010871e-05
0.75	0.05	0.005	1.23002587046e-05
0.77	0.05	0.005	9.69892113847e-06
0.79	0.05	0.005	7.64518145802e-06
0.81	0.05	0.005	6.02009213946e-06
0.83	0.05	0.005	4.73033557936e-06
0.85	0.05	0.005	3.70246370864e-06
0.87	0.05	0.005	2.87841545522e-06
0.89	0.05	0.005	2.21201228862e-06
0.91	0.05	0.005	1.66620098783e-06
0.93	0.05	0.005	1.21086464172e-06
0.95	0.05	0.005	8.21061804694e-07
0.97	0.05	0.005	4.75582698085e-07
0.99	0.05	0.005	1.55732573304e-07
0.01	0.07	0.005	0.573919532956
0.03	0.07	0.005	0.395758127196
0.05	0.07	0.005	0.274915912128
0.07	0.07	0.005	0.192833060301
0.09	0.07	0.005	0.136656680395
0.11	0.07	0.005	0.0978167073338
0.13	0.07	0.005	0.0706674375862
0.15	0.07	0.005	0.0514853492138
0.17	0.07	0.005	0.0377954703985
0.19	0.07	0.005	0.0279348707776
0.21	0.07	0.005	0.0207729340407
0.23	0.07	0.005	0.0155318212497
0.25	0.07	0.005	0.0116703220598
0.27	0.07	0.005	0.008807886365
0.29	0.07	0.005	0.00667432928629
0.31	0.07	0.005	0.00507612007298
0.33	0.07	0.005	0.00387351425594
0.35	0.07	0.005	0.00296486400972
0.37	0.07	0.005	0.00227573850518
0.39	0.07	0.005	0.00175130496315
0.41	0.07	0.005	0.00135094443781
0.43	0.07	0.005	0.00104441489405
0.45	0.07	0.005	0.000809095818439
0.47	0.07	0.005	0.000627995474179
0.49	0.07	0.005	0.000488300319808
0.51	0.07	0.005	0.00038031275456
0.53	0.07	0.005	0.000296668937903
0.55	0.07	0.005	0.000231759905486
0.57	0.07	0.005	0.000181301127219
0.59	0.07	0.005	0.000142011049639
0.61	0.07	0.005	0.000111370060182
0.63	0.07	0.005	8.74390764793e-05
0.65	0.07	0.005	6.87225352987e-05
0.67	0.07	0.005	5.40645780186e-05
